title,release year,ratingDescription
10 Things I Hate About You,1999,80.0
100 Metros,2016,110.0
13 Reasons Why,2017,110.0
3%,2016,110.0
30 Rock,2012,90.0
5 to 7,2014,100.0
90210,2013,90.0
A Monster in Paris,2011,60.0
A Weekend with the Family,2016,110.0
Absolutely Fabulous,2012,90.0
Abstract: The Art of Design,2017,90.0
Agent F.O.X.,2014,60.0
Air Bud: Spikes Back,2003,35.0
Air Bud: World Pup,2000,35.0
Air Buddies,2006,60.0
Alice Through the Looking Glass,2016,60.0
All Hail King Julien,2016,42.0
Almost Adults,2016,124.0
Alpha and Omega: Dino Digs,2016,35.0
American Crime,2016,90.0
American Crime Story: The People v. O.J. Simpson,2016,110.0
American Horror Story,2016,110.0
American Odyssey,2015,90.0
Amy Schumer: The Leather Special,2017,110.0
An American Tail,1986,35.0
An American Tail: Fievel Goes West,1991,35.0
An American Tail: The Mystery of the Night Monster,1999,35.0
An Extremely Goofy Movie,1999,35.0
Anastasia,1997,35.0
Angry Birds,2013,35.0
Animaniacs,1997,41.0
Annie,1982,60.0
Antz,1998,60.0
Aquarius,2015,110.0
Army Wives,2013,90.0
Arrow,2015,90.0
Ask the StoryBots,2016,10.0
Atlantis: Milo's Return,2003,35.0
Atlantis: The Lost Empire,2001,60.0
Axel: The Biggest Little Hero,2013,60.0
Babe: Pig in the City,1998,35.0
Baby Daddy,2016,90.0
Baby's Day Out,1994,60.0
Back and Forth,2016,124.0
Back to the Secret Garden,2002,35.0
Balto,1995,35.0
Balto 2: Wolf Quest,2001,35.0
Barbie Life in the Dreamhouse,2012,35.0
Batched,2000,35.0
Bates Motel,2016,90.0
Beary Tales,2013,35.0
Bee Movie,2007,60.0
Being Human (U.S.),2014,90.0
Being Mary Jane: The Series,2016,90.0
Better Call Saul,2016,110.0
Better Off Single,2016,110.0
Beverly Hills Chihuahua 3: Viva La Fiesta!,2012,35.0
Beyblade: Metal Fusion,2009,41.0
Bitten,2016,110.0
Black Mirror,2016,110.0
