release year,user rating score,user rating size,AgeAtRating,RatingPerUser,release year_binary,user rating score_binary,user rating size_binary
2004.0,82.0,80.0,19,1.025,2004.0,82.0,80.0
2006.0,84.09421487603306,82.0,17,,2006.0,84.09421487603306,82.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2008.0,98.0,80.0,15,1.225,2008.0,98.0,80.0
2014.0,94.0,80.0,9,1.175,2014.0,94.0,80.0
2016.0,95.0,80.0,7,1.1875,2016.0,95.0,80.0
2013.0,97.0,80.0,10,1.2125,2013.0,97.0,80.0
2017.0,91.0,80.0,6,1.1375,2017.0,91.0,80.0
2015.0,98.0,80.0,8,1.225,2015.0,98.0,80.0
2016.0,96.0,80.0,7,1.2,2016.0,96.0,80.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2016.0,95.0,80.0,7,1.1875,2016.0,95.0,80.0
2006.0,77.0,80.0,17,0.9625,2006.0,77.0,80.0
2008.0,88.0,80.0,15,1.1,2008.0,88.0,80.0
2011.0,84.09421487603306,82.0,12,,2011.0,84.09421487603306,82.0
2009.0,84.09421487603306,82.0,14,,2009.0,84.09421487603306,82.0
2015.0,96.0,80.0,8,1.2,2015.0,96.0,80.0
2016.0,80.0,80.0,7,1.0,2016.0,80.0,80.0
2016.0,74.0,80.0,7,0.925,2016.0,74.0,80.0
2016.0,97.0,80.0,7,1.2125,2016.0,97.0,80.0
2013.0,81.0,80.0,10,1.0125,2013.0,81.0,80.0
2007.0,84.09421487603306,82.0,16,,2007.0,84.09421487603306,82.0
2013.0,84.09421487603306,82.0,10,,2013.0,84.09421487603306,82.0
2013.0,57.0,80.0,10,0.7125,2013.0,57.0,80.0
2016.0,95.0,80.0,7,1.1875,2016.0,95.0,80.0
2017.0,98.0,80.0,6,1.225,2017.0,98.0,80.0
2016.0,94.0,80.0,7,1.175,2016.0,94.0,80.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2016.0,84.0,80.0,7,1.05,2016.0,84.0,80.0
2015.0,84.09421487603306,82.0,8,,2015.0,84.09421487603306,82.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2016.0,83.0,80.0,7,1.0375,2016.0,83.0,80.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2015.0,84.09421487603306,82.0,8,,2015.0,84.09421487603306,82.0
2017.0,82.0,80.0,6,1.025,2017.0,82.0,80.0
2014.0,84.09421487603306,82.0,9,,2014.0,84.09421487603306,82.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2017.0,94.0,80.0,6,1.175,2017.0,94.0,80.0
2013.0,84.09421487603306,82.0,10,,2013.0,84.09421487603306,82.0
2017.0,99.0,80.0,6,1.2375,2017.0,99.0,80.0
2017.0,89.0,80.0,6,1.1125,2017.0,89.0,80.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2017.0,92.0,80.0,6,1.15,2017.0,92.0,80.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2015.0,84.09421487603306,82.0,8,,2015.0,84.09421487603306,82.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2006.0,84.09421487603306,82.0,17,,2006.0,84.09421487603306,82.0
2012.0,97.0,80.0,11,1.2125,2012.0,97.0,80.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2008.0,98.0,80.0,15,1.225,2008.0,98.0,80.0
2013.0,62.0,80.0,10,0.775,2013.0,62.0,80.0
2012.0,96.0,80.0,11,1.2,2012.0,96.0,80.0
2014.0,94.0,80.0,9,1.175,2014.0,94.0,80.0
2016.0,95.0,80.0,7,1.1875,2016.0,95.0,80.0
2013.0,97.0,80.0,10,1.2125,2013.0,97.0,80.0
2015.0,94.0,80.0,8,1.175,2015.0,94.0,80.0
2015.0,92.0,80.0,8,1.15,2015.0,92.0,80.0
2017.0,91.0,80.0,6,1.1375,2017.0,91.0,80.0
2015.0,98.0,80.0,8,1.225,2015.0,98.0,80.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2003.0,98.0,80.0,20,1.225,2003.0,98.0,80.0
2013.0,81.0,80.0,10,1.0125,2013.0,81.0,80.0
2011.0,90.0,80.0,12,1.125,2011.0,90.0,80.0
2015.0,98.0,80.0,8,1.225,2015.0,98.0,80.0
2016.0,96.0,80.0,7,1.2,2016.0,96.0,80.0
2016.0,97.0,80.0,7,1.2125,2016.0,97.0,80.0
2016.0,91.0,80.0,7,1.1375,2016.0,91.0,80.0
2016.0,90.0,80.0,7,1.125,2016.0,90.0,80.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2011.0,84.09421487603306,82.0,12,,2011.0,84.09421487603306,82.0
2016.0,80.0,80.0,7,1.0,2016.0,80.0,80.0
2016.0,83.0,80.0,7,1.0375,2016.0,83.0,80.0
2016.0,97.0,80.0,7,1.2125,2016.0,97.0,80.0
2017.0,98.0,80.0,6,1.225,2017.0,98.0,80.0
2017.0,90.0,80.0,6,1.125,2017.0,90.0,80.0
2016.0,95.0,80.0,7,1.1875,2016.0,95.0,80.0
2017.0,80.0,80.0,6,1.0,2017.0,80.0,80.0
2017.0,84.09421487603306,82.0,6,,2017.0,84.09421487603306,82.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2016.0,84.09421487603306,82.0,7,,2016.0,84.09421487603306,82.0
2016.0,90.0,80.0,7,1.125,2016.0,90.0,80.0
2017.0,96.0,80.0,6,1.2,2017.0,96.0,80.0
2016.0,97.0,80.0,7,1.2125,2016.0,97.0,80.0
2016.0,79.0,80.0,7,0.9875,2016.0,79.0,80.0
2016.0,98.0,80.0,7,1.225,2016.0,98.0,80.0
2017.0,82.0,80.0,6,1.025,2017.0,82.0,80.0
